instrument,sex,hand,id,bin_edge,value
akkordeon,w,left,41,5,31.0
akkordeon,w,left,41,6,31.0
akkordeon,w,left,41,7,31.0
akkordeon,w,left,41,8,31.5
akkordeon,w,left,41,9,32.0
akkordeon,w,left,42,1,63.0
akkordeon,w,left,42,2,64.0
akkordeon,w,left,42,3,65.0
akkordeon,w,left,42,4,66.0
akkordeon,w,left,42,5,67.0
akkordeon,w,left,42,6,70.5
akkordeon,w,left,42,7,74.0
akkordeon,w,left,42,8,74.5
akkordeon,w,left,42,9,75.0
akkordeon,w,left,43,1,89.0
akkordeon,w,left,43,2,89.9
akkordeon,w,left,43,3,91.1
akkordeon,w,left,43,4,92.4
akkordeon,w,left,43,5,94.0
akkordeon,w,left,43,6,95.6
akkordeon,w,left,43,7,97.5
akkordeon,w,left,43,8,99.5
akkordeon,w,left,43,9,101.0
akkordeon,w,left,44,1,64.0
akkordeon,w,left,44,2,66.1
akkordeon,w,left,44,3,68.9
akkordeon,w,left,44,4,71.6
akkordeon,w,left,44,5,74.0
akkordeon,w,left,44,6,76.4
akkordeon,w,left,44,7,77.3
akkordeon,w,left,44,8,77.7
akkordeon,w,left,44,9,78.0
akkordeon,w,left,45,1,153.0
akkordeon,w,left,45,2,157.8
akkordeon,w,left,45,3,164.2
akkordeon,w,left,45,4,169.3
akkordeon,w,left,45,5,170.5
akkordeon,w,left,45,6,171.7
akkordeon,w,left,45,7,172.6
akkordeon,w,left,45,8,173.4
akkordeon,w,left,45,9,174.0
akkordeon,w,left,46,1,83.0
akkordeon,w,left,46,2,84.8
akkordeon,w,left,46,3,87.2
akkordeon,w,left,46,4,89.2
akkordeon,w,left,46,5,90.0
akkordeon,w,left,46,6,90.8
akkordeon,w,left,46,7,91.3
akkordeon,w,left,46,8,91.7
akkordeon,w,left,46,9,92.0
akkordeon,w,left,47,1,62.0
akkordeon,w,left,47,2,62.3
akkordeon,w,left,47,3,62.7
akkordeon,w,left,47,4,63.7
akkordeon,w,left,47,5,66.5
akkordeon,w,left,47,6,69.3
akkordeon,w,left,47,7,71.2
akkordeon,w,left,47,8,72.8
akkordeon,w,left,47,9,74.0
akkordeon,w,left,48,1,86.0
akkordeon,w,left,48,2,86.9
akkordeon,w,left,48,3,88.1
akkordeon,w,left,48,4,89.1
akkordeon,w,left,48,5,89.5
akkordeon,w,left,48,6,89.9
akkordeon,w,left,48,7,90.6
akkordeon,w,left,48,8,91.4
akkordeon,w,left,48,9,92.0
akkordeon,w,left,49,1,92.0
akkordeon,w,left,49,2,93.5
akkordeon,w,left,49,3,95.5
akkordeon,w,left,49,4,97.5
akkordeon,w,left,49,5,99.5
akkordeon,w,left,49,6,101.5
akkordeon,w,left,49,7,102.3
akkordeon,w,left,49,8,102.7
akkordeon,w,left,49,9,103.0
akkordeon,w,left,50,1,98.0
akkordeon,w,left,50,2,98.9
akkordeon,w,left,50,3,100.1
akkordeon,w,left,50,4,101.8
akkordeon,w,left,50,5,105.0
akkordeon,w,left,50,6,108.2
akkordeon,w,left,50,7,109.3
akkordeon,w,left,50,8,109.7
akkordeon,w,left,50,9,110.0
akkordeon,w,left,51,1,49.0
akkordeon,w,left,51,2,53.8
akkordeon,w,left,51,3,60.2
akkordeon,w,left,51,4,66.6
akkordeon,w,left,51,5,73.0
akkordeon,w,left,51,6,79.4
akkordeon,w,left,51,7,81.0
akkordeon,w,left,51,8,81.0
akkordeon,w,left,51,9,81.0
akkordeon,w,left,52,1,31.0
akkordeon,w,left,52,2,33.7
akkordeon,w,left,52,3,37.3
akkordeon,w,left,52,4,40.5
akkordeon,w,left,52,5,42.5
akkordeon,w,left,52,6,44.5
akkordeon,w,left,52,7,53.7
akkordeon,w,left,52,8,65.3
akkordeon,w,left,52,9,74.0
akkordeon,w,left,53,1,46.0
akkordeon,w,left,53,2,50.2
akkordeon,w,left,53,3,55.8
akkordeon,w,left,53,4,62.0
akkordeon,w,left,53,5,70.0
akkordeon,w,left,53,6,78.0
akkordeon,w,left,53,7,80.6
akkordeon,w,left,53,8,81.4
akkordeon,w,left,53,9,82.0
akkordeon,w,left,54,1,54.0
akkordeon,w,left,54,2,62.1
akkordeon,w,left,54,3,72.9
